n_steps,return_mean,return_std
1660000,-1.74,2.189155
1665000,-1.54,2.1836667
1670000,-2.58,2.3671925
1675000,-1.5,2.1283798
1680000,-2.3,2.4103942
1685000,-2.18,2.4140422
1690000,-2.1,2.2293499
1695000,-2.56,2.3762155
1700000,-2.0,2.280351
1705000,-1.96,2.306166
1710000,-2.86,2.35805
1715000,-2.74,2.373268
1720000,-2.78,2.3348663
1725000,-2.08,2.2524655
1730000,-2.26,2.2874439
1735000,-2.18,2.3468277
1740000,-2.26,2.3393161
1745000,-2.6,2.34094
1750000,-2.92,2.296432
1755000,-2.46,2.4183466
1760000,-2.8,2.3151672
1765000,-2.36,2.4475293
1770000,-2.08,2.3137848
1775000,-1.64,2.2339203
1780000,-2.32,2.3701475
1785000,-2.1,2.3086793
1790000,-2.6,2.3579652
1795000,-1.88,2.2683914
1800000,-2.52,2.3258545
1805000,-2.3,2.3345237
1810000,-2.34,2.3799999
1815000,-2.08,2.3310084
1820000,-2.72,2.4003334
1825000,-2.06,2.3358939
1830000,-1.9,2.2649503
1835000,-1.72,2.1912556
1840000,-2.44,2.3078995
1845000,-2.3,2.3345237
1850000,-2.3,2.3259408
1855000,-2.16,2.3525305
1860000,-2.04,2.2712114
1865000,-2.18,2.26
1870000,-2.96,2.3405983
1875000,-2.44,2.3929899
1880000,-2.58,2.3671925
1885000,-2.28,2.3583045
1890000,-2.58,2.40075
1895000,-2.32,2.2842066
1900000,-2.22,2.3090258
1905000,-2.06,2.248644
1910000,-1.78,2.2116961
1915000,-1.88,2.1692393
1920000,-2.22,2.3940759
1925000,-2.22,2.410726
1930000,-2.38,2.2705946
1935000,-2.4,2.2627416
1940000,-2.56,2.3677838
1945000,-2.44,2.3337524
1950000,-2.54,2.3512552
1955000,-2.38,2.3485315
1960000,-2.3,2.3345237
1965000,-2.34,2.329034
1970000,-1.66,2.1411211
1975000,-2.88,2.3292916
1980000,-2.3,2.2737634
1985000,-2.52,2.3258548
1990000,-2.36,2.3644028
1995000,-1.8,2.2627416
2000000,-2.04,2.3576257
2005000,-2.38,2.2968674
2010000,-2.4,2.349468
2015000,-2.48,2.3684595
2020000,-2.26,2.356353
2025000,-2.16,2.3440137
2030000,-2.34,2.3204308
2035000,-2.12,2.3718348
2040000,-2.52,2.3429894
2045000,-2.92,2.3650792
2050000,-2.42,2.3331523
2055000,-1.96,2.306166
2060000,-1.54,2.2109725
2065000,-2.28,2.227465
2070000,-2.26,2.38168
2075000,-2.22,2.317671
2080000,-2.76,2.3879697
2085000,-2.06,2.327316
2090000,-2.52,2.3258545
2095000,-2.24,2.2939923
2100000,-2.26,2.373268
2105000,-2.04,2.2623882
2110000,-2.42,2.3331523
2115000,-2.24,2.37116
2120000,-1.7,2.2203603
2125000,-2.44,2.2992172
2130000,-2.5,2.3515952
2135000,-2.86,2.1634233
2140000,-2.22,2.3857074
2145000,-2.14,2.2979121
2150000,-2.26,2.3048644
2155000,-2.7,2.3600848
2160000,-2.6,2.34094
2165000,-2.42,2.40075
2170000,-1.96,2.162961
2175000,-2.24,2.2939923
2180000,-2.62,2.3990831
2185000,-2.58,2.289891
2190000,-2.22,2.317671
2195000,-2.28,2.3412817
2200000,-2.04,2.2623882
2205000,-2.04,2.340598
2210000,-2.6,2.349468
2215000,-2.32,2.24
2220000,-2.3,2.2649503
2225000,-2.16,2.3525305
2230000,-2.84,2.3354657
2235000,-1.88,2.2771912
2240000,-1.84,2.2123291
2245000,-2.46,2.3255966
2250000,-2.52,2.35151
2255000,-2.26,2.3648255
2260000,-1.82,2.303823
2265000,-2.34,2.2236006
2270000,-2.52,2.3258545
2275000,-2.16,2.3440137
2280000,-2.16,2.3440135
2285000,-2.7,2.343075
2290000,-1.6,2.1633308
2295000,-1.84,2.2922478
2300000,-2.3,2.4103942
2305000,-2.56,2.3762155
2310000,-2.3,2.4103942
2315000,-2.64,2.397999
2320000,-1.88,2.1876013
2325000,-2.34,2.3883884
2330000,-1.88,2.2683914
2335000,-1.68,2.2929459
2340000,-1.74,2.1891549
2345000,-2.1,2.238303
2350000,-2.38,2.2881434
2355000,-2.02,2.2670686
2360000,-2.22,2.4024155
2365000,-2.42,2.3331523
2370000,-2.3,2.3515954
2375000,-2.78,2.419008
2380000,-2.16,2.3610168
2385000,-2.22,2.3940759
